goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_dense/1024KiB,325.550,626.530,0.519608,4271191.000,366455.000,31.000,40.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_dense/16KiB,307.490,597.340,0.514765,45994.000,4728.000,19.000,31.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_dense/256KiB,323.200,638.070,0.506527,820767.000,79733.000,24.000,36.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_sparse/1024KiB,1623.470,9909.570,0.163829,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_sparse/16KiB,1512.840,9356.230,0.161693,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_dense/match_sparse/256KiB,1619.160,9916.720,0.163276,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_dense/1024KiB,321.240,623.940,0.514857,4287504.000,366446.000,31.000,40.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_dense/16KiB,309.950,584.800,0.530010,45973.000,4727.000,19.000,31.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_dense/256KiB,315.980,623.080,0.507126,821075.000,79734.000,25.000,36.000,1,2397469280
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_sparse/1024KiB,1744.380,9849.050,0.177111,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_sparse/16KiB,1602.870,9315.500,0.172065,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation/punct_sparse/match_sparse/256KiB,1733.720,10078.110,0.172028,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_dense/1024KiB,524.030,395.240,1.325853,4270981.000,366466.000,31.000,40.000,1,1546895818
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_dense/16KiB,306.020,375.440,0.815097,46013.000,4728.000,19.000,31.000,1,1546895818
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_dense/256KiB,506.380,391.830,1.292346,820795.000,79735.000,24.000,36.000,1,1546895818
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_sparse/1024KiB,9135.570,9724.740,0.939415,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_sparse/16KiB,737.110,9329.470,0.079009,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_dense/match_sparse/256KiB,5896.730,10055.770,0.586403,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_dense/1024KiB,507.250,386.050,1.313949,4287486.000,366451.000,31.000,40.000,1,1546895818
darwin,arm64,Apple M3 Max,regex_literal_alternation_nocase/punct_sparse/match_dense/16KiB,308.620,375.230,0.822482,45987.000,4727.000,19.000,31.000,1,1546895818
